States	Score	Time
5	-58879.7036158808	22.459
10	-54868.5235302961	117.937
15	-53900.7673949484	97.898
20	-51684.5124205803	98.902
25	-50534.4860925774	264.534
30	-50021.9132557683	270.495
35	-50166.1374026167	336.641
40	-50125.5230504288	215.98
45	-49739.3133102563	418.491
50	-49678.5132166746	382.72
55	-49741.1666665420	964.295
60	-49806.2957491008	411.747
65	-49879.2664255182	663.803
70	-49768.5026201135	460.986
75	-49757.1800305840	569.252
80	-49718.0977985131	558.132
85	-49862.6421738756	631.342
90	-49758.4637648436	689.357
95	-49822.3245745197	728.594
100	-49836.9296526342	783.561
105	-49893.8310937186	1008.801
110	-49886.6098218289	1106.42
115	-49766.1955329537	1119.797
120	-49822.4205651510	1172.289
125	-49948.8398147930	1356.193
130	-50057.1913290082	1540.445
135	-49868.6062589794	1593.003
140	-49795.2240003459	1689.899
145	-49946.4448192483	1904.343
150	-49786.1057352706	1885.355
155	-49799.1860606421	1993.198
160	-50010.9379677454	2074.09